,id,beta,Date,marketcap,type
2767,BTC,-0.4539101191016396,2019-10-10,153889018093.32,crypto
2768,BTC,-0.4812051023314955,2019-10-11,152063734835.0,crypto
2769,BTC,-0.4834788659732886,2019-10-14,149504844709.5,crypto
2770,BTC,-0.4985947505602034,2019-10-15,147884020750.25,crypto
2771,BTC,-0.5041595044348455,2019-10-16,144278408657.27,crypto
2772,BTC,-0.5071292882701861,2019-10-17,144760869098.79,crypto
2773,BTC,-0.5085055150946944,2019-10-18,142928155531.5,crypto
2774,BTC,-0.5022618044173792,2019-10-21,148116020619.0,crypto
2775,BTC,-0.501020224803477,2019-10-22,147267486457.0,crypto
2776,BTC,-0.5108955045888108,2019-10-23,136443865682.0,crypto
2777,BTC,-0.5120210707806125,2019-10-24,134166744596.49998,crypto
2778,BTC,-0.5075153755795953,2019-10-25,148959843159.0,crypto
2779,BTC,-0.4900143787160042,2019-10-28,171234594809.87,crypto
2780,BTC,-0.4967968512053974,2019-10-29,168680176787.5,crypto
2781,BTC,-0.5099097364591818,2019-10-30,165214116901.25,crypto
2782,BTC,-0.5104695714871854,2019-10-31,165524051661.0,crypto
2783,BTC,-0.5630741179217467,2019-11-01,165161288462.22,crypto
2784,BTC,-0.5648994811684687,2019-11-04,168743441625.5,crypto
2785,BTC,-0.5638307770234126,2019-11-05,168271092876.25,crypto
2786,BTC,-0.6587414249468975,2019-11-06,168323766409.5,crypto
2787,BTC,-0.7785419583032154,2019-11-07,166257701732.52,crypto
2788,BTC,-0.7854190867570277,2019-11-08,160397927525.0,crypto
2789,BTC,-0.8009572899611574,2019-11-11,158100656157.84,crypto
2790,BTC,-0.713857097434756,2019-11-12,157337357276.24997,crypto
2791,BTC,-0.7166714923023491,2019-11-13,157871313719.5,crypto
2792,BTC,-0.8900613152433027,2019-11-14,156119890534.2,crypto
2793,BTC,-0.9008997863417118,2019-11-15,153723047285.41998,crypto
2794,BTC,-0.8823948574672916,2019-11-18,149517170169.44,crypto
2795,BTC,-0.8683072935089632,2019-11-19,146192541690.0,crypto
2796,BTC,-0.9017557225756556,2019-11-20,146302179353.28,crypto
2797,BTC,-0.9016624272185146,2019-11-21,138986576190.0,crypto
2798,BTC,-1.031150413344499,2019-11-22,130156298726.76,crypto
2799,BTC,-1.0383760101626496,2019-11-25,125523122265.66,crypto
2800,BTC,-1.0401635782491667,2019-11-26,129125311555.02,crypto
